isbn,title,author,year,publisher,coverMedium,avgRating,ratingCount
1888054557,Postmarked Yesteryear: 30 Rare Holiday Postcards,Pamela E. Apkarian-Russell,2001,Collectors Press,http://images.amazon.com/images/P/1888054557.01.MZZZZZZZ.jpg,10.0,11
0394800893,The Sneetches and Other Stories,Dr. Seuss,1961,Random House Children's Books,http://images.amazon.com/images/P/0394800893.01.MZZZZZZZ.jpg,10.0,8
1571456988,Uncle John's Supremely Satisfying Bathroom Reader (Uncle John's Bathroom Reader),Bathroom Readers Institute,2001,Bathroom Reader Press,http://images.amazon.com/images/P/1571456988.01.MZZZZZZZ.jpg,10.0,7
089471838X,Natural California: A Postcard Book,Not Applicable (Na ),1990,Running Pr,http://images.amazon.com/images/P/089471838X.01.MZZZZZZZ.jpg,10.0,7
0395193958,The Lord of the Rings (Leatherette Collector's Edition),J. R. R. Tolkien,1974,Houghton Mifflin Company,http://images.amazon.com/images/P/0395193958.01.MZZZZZZZ.jpg,10.0,6
0394831292,"Oh, the Thinks You Can Think! (I Can Read It All by Myself Beginner Books)",Dr. Seuss,1975,Random House Children's Books,http://images.amazon.com/images/P/0394831292.01.MZZZZZZZ.jpg,10.0,6
0395282659,The Hobbit,J. R. R. Tolkien,1988,Houghton Mifflin Co,http://images.amazon.com/images/P/0395282659.01.MZZZZZZZ.jpg,10.0,6
0679821481,Six by Seuss: A Treasury of Dr. Seuss Classics,Seuss,1991,Random House Children's Books,http://images.amazon.com/images/P/0679821481.01.MZZZZZZZ.jpg,10.0,6
1560255102,A Prayer for America,Dennis J. Kucinich,2003,Nation Books,http://images.amazon.com/images/P/1560255102.01.MZZZZZZZ.jpg,10.0,5
1563054671,The Little Zen Companion,David Schiller,1994,Workman Publishing,http://images.amazon.com/images/P/1563054671.01.MZZZZZZZ.jpg,10.0,5
0842377506,A Voice in the Wind (Mark of the Lion #1),Francine Rivers,1998,Tyndale House Publishers,http://images.amazon.com/images/P/0842377506.01.MZZZZZZZ.jpg,10.0,5
0679722017,The Selected Poetry of Rainer Maria Rilke,RAINER MARIA RILKE,1989,Vintage,http://images.amazon.com/images/P/0679722017.01.MZZZZZZZ.jpg,10.0,5
1565548353,Halloween: Romantic Art and Customs Of Yesteryear Postcard Book,Diane C. Arkins,2000,Pelican Publishing Company,http://images.amazon.com/images/P/1565548353.01.MZZZZZZZ.jpg,10.0,5
0044409494,Hollywoodn't: A Queer Postcard Book,Laurence Jaugey-Paget,1995,HarperSanFrancisco,http://images.amazon.com/images/P/0044409494.01.MZZZZZZZ.jpg,10.0,5
0373790651,"The Ultimate Seduction (Harlequin Blaze, No 61)",Janelle Denison,2002,Harlequin,http://images.amazon.com/images/P/0373790651.01.MZZZZZZZ.jpg,10.0,5
1558532854,Postcards from Live and Learn and Pass It on,"H. Jackson, Jr. Brown",1994,Rutledge Hill Press,http://images.amazon.com/images/P/1558532854.01.MZZZZZZZ.jpg,10.0,5
0836213319,Dilbert: A Book of Postcards,Scott Adams,1996,Andrews McMeel Pub,http://images.amazon.com/images/P/0836213319.01.MZZZZZZZ.jpg,9.92,13
0439425220,Harry Potter and the Chamber of Secrets Postcard Book,J. K. Rowling,2002,Scholastic,http://images.amazon.com/images/P/0439425220.01.MZZZZZZZ.jpg,9.87,23
0385480334,Diary of a Young Girl: The Definitive Editon,Anne Frank,1996,Anchor,http://images.amazon.com/images/P/0385480334.01.MZZZZZZZ.jpg,9.86,7
0671743481,The University of Chicago Spanish - English English - Spanish Dictionary,Carlos Castillo,1991,Pocket,http://images.amazon.com/images/P/0671743481.01.MZZZZZZZ.jpg,9.83,6
0590464639,The Biggest Pumpkin Ever,Steven Kroll,1993,Cartwheel Books,http://images.amazon.com/images/P/0590464639.01.MZZZZZZZ.jpg,9.83,6
0048230871,"The Lord of the rings,",J. R. R Tolkien,1968,Allen and Unwin,http://images.amazon.com/images/P/0048230871.01.MZZZZZZZ.jpg,9.83,6
0312992416,Kiss of the Night (A Dark-Hunter Novel),Sherrilyn Kenyon,2004,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312992416.01.MZZZZZZZ.jpg,9.8,10
