gameId,title,genres,platform,releaseYear,image,developer,rating,totalReviews,installs,source
mob_0,Garena Free Fire- World Series,Action,mobile,,https://play-lh.googleusercontent.com/uVRjDZ9q6OBIYE2ASYcl0wyBUFOgXsex5XnzS1BA7YP-CbVYCTEY3kD_t3zFP63W7W6SYesGEMgbbgG9Onn7,GARENA INTERNATIONAL I,4.0,86273129,500.0,googleplay
mob_1,Clash of Clans,Strategy,mobile,,https://play-lh.googleusercontent.com/sFmWfYbYp_2ea7VRMTnwd3gjIBrPGXHj_d_ab1_k1q1p2OMk4riGMF1vqxdhONOtTYOt_BVpk7a4AYcKU68LNGQ,Supercell,4.47,55766763,"500,000,000+",googleplay
mob_2,PUBG MOBILE - Traverse,Action,mobile,,https://play-lh.googleusercontent.com/zCSGnBtZk0Lmp1BAbyaZfLktDzHmC6oke67qzz3G1lBegAF2asyt5KzXOJ2PVdHDYkU,Level Infinite,4.0,37276732,500.0,googleplay
mob_3,Subway Surfers,Arcade,mobile,,https://play-lh.googleusercontent.com/I7CQ7JWKDgh5bNebcSJmVIYsrfvTxDMk_HXR7yBtcTGFOv6ubA2SJk4dwOlb27Y8IjE,SYBO Games,4.55,35665901,"1,000,000,000+",googleplay
mob_4,Candy Crush Saga,Casual,mobile,,https://play-lh.googleusercontent.com/JvMhIxuwArVmcMReJQB8PIEB1MIQNMGf9j5i914JtkBrHrA55K-nMUIVlYCa7SXAdHtzLtsycEo6NpXeHFxLwvI,King,4.63,31367945,"1,000,000,000+",googleplay
mob_5,Clash Royale,Strategy,mobile,,https://play-lh.googleusercontent.com/gnSC6s8-6Tjc4uhvDW7nfrSJxpbhllzYhgX8y374N1LYvWBStn2YhozS9XXaz1T_Pi2q,Supercell,4.52,30852360,"500,000,000+",googleplay
mob_6,Mobile Legends: Bang Bang,Action,mobile,,https://play-lh.googleusercontent.com/hXSJ_2koqdr_Uxdnd_P0HxDjR2tXEJ2rI1AEeHr8-I33a-75_v8l_i61tpAJ-CYxhLPQA-3YxYAVE_ro7uG0,Skystone Games Pte. Ltd.,4.0,26663595,100.0,googleplay
mob_7,Roblox,Adventure,mobile,,https://play-lh.googleusercontent.com/7cIIPlWm4m7AGqVpEsIfyL-HW4cQla4ucXnfalMft1TMIYQIlf2vqgmthlZgbNAQoaQ,Roblox Corporation,4.25,21820451,"1,000,000,000+",googleplay
mob_8,8 Ball Pool,Sports,mobile,,https://play-lh.googleusercontent.com/bPz1guJ6FHF3oIOEy3KqwpaDDKO-hLRaZoyzmM8bLFLN8fWm6L0_EuUnkwv9iqPo3Ag,Miniclip.com,4.8,21632735,"1,000,000,000+",googleplay
mob_9,Brawl Stars,Action,mobile,,https://play-lh.googleusercontent.com/WLJb9DGkxPkiqlvizxSyHnMqPOZATgfd8RH8rEo3L4FM84luI7GYKE8D2qFZNtC2OMsoo-eOy-qquwIRVl-05w,Supercell,4.2,17971552,"100,000,000+",googleplay
