movieId,title,year,genres,avgRating,ratingCount,tmdbId,imdbId
318,"Shawshank Redemption, The",1994,Crime|Drama,4.45,63366,278,111161
858,"Godfather, The",1972,Crime|Drama,4.36,41355,238,68646
50,"Usual Suspects, The",1995,Crime|Mystery|Thriller,4.33,47006,629,114814
527,Schindler's List,1993,Drama|War,4.31,50054,424,108052
1221,"Godfather: Part II, The",1974,Crime|Drama,4.28,27398,240,71562
904,Rear Window,1954,Mystery|Thriller,4.27,17449,567,47396
2019,Seven Samurai (Shichinin no samurai),1954,Action|Adventure|Drama,4.27,11611,346,47478
912,Casablanca,1942,Drama|Romance,4.26,24349,289,34583
922,Sunset Blvd. (a.k.a. Sunset Boulevard),1950,Drama|Film-Noir|Romance,4.26,6525,599,43014
7502,Band of Brothers,2001,Action|Drama|War,4.26,4305,191903,185906
1193,One Flew Over the Cuckoo's Nest,1975,Drama,4.25,29932,510,73486
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Comedy|War,4.25,23220,935,57012
1212,"Third Man, The",1949,Film-Noir|Mystery|Thriller,4.25,6565,1092,41959
6016,City of God (Cidade de Deus),2002,Action|Adventure|Crime|Drama|Thriller,4.24,12937,598,317248
2959,Fight Club,1999,Action|Crime|Drama|Thriller,4.23,40106,550,137523
908,North by Northwest,1959,Action|Adventure|Mystery|Romance|Thriller,4.23,15627,213,53125
44555,"Lives of Others, The (Das leben der Anderen)",2006,Drama|Romance|Thriller,4.23,5720,582,405094
1178,Paths of Glory,1957,Drama|War,4.23,3568,975,50825
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),1981,Action|Adventure,4.22,43295,85,82971
58559,"Dark Knight, The",2008,Action|Crime|Drama|IMAX,4.22,20438,155,468569
1203,12 Angry Men,1957,Drama,4.22,12934,389,50083
3435,Double Indemnity,1944,Crime|Drama|Film-Noir,4.22,4909,996,36775
77658,Cosmos,1980,Documentary,4.22,936,205300,81846
1284,"Big Sleep, The",1946,Crime|Film-Noir|Mystery,4.21,5529,910,38355
3030,Yojimbo,1961,Action|Adventure,4.21,3559,11878,55630
4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le)",2001,Comedy|Romance,4.2,24349,194,211915
1252,Chinatown,1974,Crime|Film-Noir|Mystery|Thriller,4.2,15310,829,71315
5618,Spirited Away (Sen to Chihiro no kamikakushi),2001,Adventure|Animation|Fantasy,4.2,13466,129,245429
930,Notorious,1946,Film-Noir|Romance|Thriller,4.2,4932,303,38787
926,All About Eve,1950,Drama,4.2,4826,705,42192
260,Star Wars: Episode IV - A New Hope,1977,Action|Adventure|Sci-Fi,4.19,54502,11,76759
2571,"Matrix, The",1999,Action|Sci-Fi|Thriller,4.19,51334,603,133093
1196,Star Wars: Episode V - The Empire Strikes Back,1980,Action|Adventure|Sci-Fi,4.19,45313,1891,80684
